gene,alt_name,gene_group,source,notes,y_offset
ARIH2,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
BARD1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
BFAR,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
BIRC2,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
BIRC3,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
BIRC7,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
BIRC8,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
BMI1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
BRAP,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
BRCA1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
CBL,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
CBLB,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
CBLC,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
CBLL1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
IHO1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
CCNB1IP1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
CGRRF1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
CHFR,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
CNOT4,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
CUL9,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
ZFTRAF1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
DCST1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
DTX1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
DTX2,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
DTX3,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
DTX3L,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
DTX4,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
DZIP3,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
E4F1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
FANCL,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
G2E3,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
HACE1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
HECTD1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
HECTD2,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
HECTD3,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
HECTD4,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
HECW1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
HECW2,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
HERC1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
HERC2,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
HERC3,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
HERC4,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
HERC5,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
HERC6,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
HLTF,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
HUWE1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
IRF2BP1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
IRF2BP2,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
IRF2BPL,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
ITCH,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
KCMF1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
KMT2C,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
KMT2D,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
LNX1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
LNX2,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
LONRF1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
LONRF2,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
LONRF3,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
LRSAM1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
LTN1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
MAEA,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
MAP3K1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
MARCHF1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
MARCHF10,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
MARCHF11,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
MARCHF2,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
MARCHF3,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
MARCHF4,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
MARCHF5,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
MARCHF6,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
MARCHF7,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
MARCHF8,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
MARCHF9,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
MDM2,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
MDM4,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
MECOM,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
MEX3A,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
MEX3B,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
MEX3C,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
MEX3D,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
MGRN1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
MIB1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
MIB2,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
MID1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
MID2,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
MKRN1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
MKRN2,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
MKRN3,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
MKRN4P,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
MNAT1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
MSL2,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
MUL1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
MYCBP2,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
MYLIP,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
NEDD4,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
NEDD4L,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
NEURL1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
NEURL1B,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
NEURL3,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
NFX1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
NFXL1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
NHLRC1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
NOSIP,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
NSMCE1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
PRKN,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
PCGF1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
PCGF2,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
PCGF3,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
PCGF5,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
PCGF6,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
PDZRN3,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
PDZRN4,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
PELI1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
PELI2,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
PELI3,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
PEX10,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
PEX12,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
PEX2,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
PHF7,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
PHRF1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
PJA1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
PJA2,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
PLAG1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
PLAGL1,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
PML,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
PPIL2,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
PRPF19,,E3: Ub Ligase,https://esbl.nhlbi.nih.gov/Databases/KSBP2/Targets/Lists/E3-ligases/,Symbols converted via HGNC Multi-Symbol Checker,2
